카테고리,기사 링크,기사 제목,이미지 URL,기사 요약,언론사,게시 날짜
금융,https://n.news.naver.com/mnews/article/009/0005432123,"“우리 동창회 총무, 돈 관리 잘 하고 있나”…이 통장 만들면 서로 편하다는데",https://mimgnews.pstatic.net/image/origin/009/2025/01/20/5432123.jpg?type=nf220_150,"저비용으로 효과 커 효자상품 신한銀, 3년 만에 재출시 나서 저축은행도 상품 출시 채비 금융권이 신규 고객 유치의 수단으로 여러 사람이 함께 계좌를 관리할 수 있는 ‘모임통장’을 잇달아 내놓고 있다. 모임통장은 출시",매일경제,1시간전
금융,https://n.news.naver.com/mnews/article/087/0001093852,[이코노미 플러스]지난해 불법사금융 피해신고 급증…채권추심 4년만에 5배로,https://mimgnews.pstatic.net/image/origin/087/2025/01/20/1093852.jpg?type=nf220_150,지난해 10월까지 불법 사금융 피해 상담·신고 건수가 최근 5년새 가장 많은 수준으로 급증한 것으로 집계됐다. 추심방식이 악랄해지면서 채권추심과 관련한 피해상담 건수는 4년만에 5배 수준으로 폭증했다. 19일 금융감,강원일보,1시간전
금융,https://n.news.naver.com/mnews/article/087/0001093851,[이코노미 플러스] 금융당국 저축은행 여러곳 '취약' 추가통보…적기시정조치 가능성,https://mimgnews.pstatic.net/image/origin/087/2025/01/20/1093851.jpg?type=nf220_150,금융당국이 저축은행 여러 곳의 자산건전성 지표에 '취약' 등급을 추가 확정하면서 적기시정조치 부과 논의도 이어질 것으로 전망된다. 지난달 금융위원회가 안국저축은행과 라온저축은행에 적기시정조치를 부과한 데 이어 강제,강원일보,1시간전
금융,https://n.news.naver.com/mnews/article/087/0001093850,[이코노미 플러스]공매도 통합 가이드라인 마련…내부통제기준 법인별 차등화,,금융당국이 오는 3월 말 공매도 재개를 앞두고 규제 체계를 명확히 하는 '통합 가이드라인 최종안'을 마련했다. 가이드라인에 따르면 무차입 공매도 발생 가능성에 대비해 법인별 내부통제 기준을 차등화하기로 했다. 대규모,강원일보,1시간전
금융,https://n.news.naver.com/mnews/article/087/0001093849,[이코노미 플러스] “상호금융 주담대 부실 가능성…리스크 관리 강화해야”,https://mimgnews.pstatic.net/image/origin/087/2025/01/20/1093849.jpg?type=nf220_150,"상호금융 주택담보대출 보유 차주들이 은행, 보험사에 비해 채무불이행자 비율이 높고, 60대 이상 비중과 다중 채무자 비율 상승세가 확대되고 있어 리스크 관리 강화가 필요하다는 지적이 제기됐다. 박희우 보험연구원 연구",강원일보,1시간전
금융,https://n.news.naver.com/mnews/article/009/0005432116,“돈만 빌릴 수 있다면”…연이자 17% 대출까지 몰려든 벼랑 끝 서민들,https://mimgnews.pstatic.net/image/origin/009/2025/01/20/5432116.jpg?type=nf220_150,작년 4분기 대출 규제에 경기악화 겹쳐 수요증가 연 금리 17%를 넘나드는 저축은행 중금리 대출 판매량이 급증하고 있다. 연말 시중은행 대출 관리 강화 기조에 따라 차주가 저축은행으로 몰려든 것으로 해석된다. 경기,매일경제,1시간전
금융,https://n.news.naver.com/mnews/article/277/0005535703,"車보험료 최대 1% 인하…손보업계 ""상생금융 동참""",https://mimgnews.pstatic.net/image/origin/277/2025/01/20/5535703.jpg?type=nf220_150,"손해보험업계가 올해 자동차보험료를 1% 내외로 내릴 전망이다. 손해보험업계 관계자는 20일 ""상생금융 동참 차원에서 각 사 모두 자동차보험료를 0.5~1% 내리는 방안이 유력하다""고 말했다. 자동차보험료 인하 폭과",아시아경제,2시간전
금융,https://n.news.naver.com/mnews/article/015/0005084677,국내 상장 하루 만에…'트럼프 코인' 120% 폭등 [한경 코알라],https://mimgnews.pstatic.net/image/origin/015/2025/01/20/5084677.jpg?type=nf220_150,"코인, 알고 투자하라! 한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. 매주 수요일 아침 발행하는 코알라를 받아보세요! 무료 구독신청 hankyung.com/newsletter 도널드 트럼프 미국",한국경제,2시간전
금융,https://n.news.naver.com/mnews/article/014/0005298411,"시중은행장 만난 이재명 ""금융산업 경쟁력 제고 위해 지원하겠다""",https://mimgnews.pstatic.net/image/origin/014/2025/01/20/5298411.jpg?type=nf220_150,이재명 더불어민주당 대표가 5대 시중은행장과 IBK기업은행장을 만나 국내 금융산업 경쟁력을 높일 수 있는 규제 개선에 나서겠다고 밝혔다. 이 대표가 은행장들에게 한국 금융산업의 경쟁력 제고를 위한 정부의 지원방안이나,파이낸셜뉴스,2시간전
금융,https://n.news.naver.com/mnews/article/658/0000095004,"한은 “계엄사태, 환율 30원 올리고 성장률 0.2%p 낮춰”",https://mimgnews.pstatic.net/image/origin/658/2025/01/20/95004.jpg?type=nf220_150,‘계엄 사태’ 후폭풍이 대한민국 경제 곳곳을 강타한다. 한국은행은 계엄 사태가 원/달러 환율을 30원 추가 상승시킨 것으로 추산(국제신문 지난 17일자 3면 보도)한 데 이어 올해 경제성장률도 0.2%포인트 하락시킬,국제신문,3시간전
금융,https://n.news.naver.com/mnews/article/018/0005928729,백종일 전북은행장 “소상공인 금융지원·리스크 관리” 강조,https://mimgnews.pstatic.net/image/origin/018/2025/01/20/5928729.jpg?type=nf220_150,JB전북은행 상반기 경영전략회의 모습. 사진=전북은행 제공 JB금융그룹 전북은행이 지난 17일~18일 이틀간 JB금융그룹 아우름 캠퍼스에서 상반기 경영전략회의를 개최했다고 20일 밝혔다. 백종일 전북은행장은 회의에서,이데일리,3시간전
금융,https://n.news.naver.com/mnews/article/018/0005928728,황병우 DGB금융 회장 “비대면 접근성으로 혁신금융 제공”,https://mimgnews.pstatic.net/image/origin/018/2025/01/20/5928728.jpg?type=nf220_150,황병우 DGB금융그룹 회장이 2030 비전 선포식에서 발언하고 있다. 사진=DGB금융 제공 DGB금융그룹이 20일 서울 중구 iM금융센터에서 ‘2030 그룹 비전 선포식’을 개최하고 힘찬 도약을 위한 새로운 비전을,이데일리,3시간전
금융,https://n.news.naver.com/mnews/article/018/0005928727,"예경탁 경남은행장 “자산·수익 리밸런싱, 니치마켓 발굴” 강조",https://mimgnews.pstatic.net/image/origin/018/2025/01/20/5928727.jpg?type=nf220_150,BNK경남은행 상반기 전략회의. 사진=경남은행 제공 BNK경남은행이 ‘2025년 상반기 경영전략회의’를 열고 2025년 경영방침과 경영전략을 발표했다고 20일 밝혔다. 예경탁 경남은행장은 “대내외 환경이 녹록지 않겠,이데일리,3시간전
금융,https://n.news.naver.com/mnews/article/018/0005928726,"농협금융, 트럼프 2.0시대 자산운용 전략 토론",https://mimgnews.pstatic.net/image/origin/018/2025/01/20/5928726.jpg?type=nf220_150,농협금융은 20일 서울 중구 본사에서 2025년 제1차 자산운용전략회의를 개최했다. 황종연 부사장이 자산운용전략회의를 주재하고 있다. 사진=농협은행 제공 농협금융그룹이 20일 서울 중구 본사에서 황종연 사업전략부문,이데일리,3시간전
