기사 링크,기사 제목,이미지 URL,기사 요약,언론사,게시 시간
https://n.news.naver.com/mnews/article/011/0004441569,"[동십자각] 정치, 금융 발목이나 잡지 마라",https://mimgnews.pstatic.net/image/origin/011/2025/01/19/4441569.jpg?type=nf220_150,“최악의 경우 뱅크런 가능성을 배제할 수 없었을 겁니다.” ‘리빌딩 파이낸스 2025’ 기획 기사 취재를 위해 지난해 12월 찾은 국내 한 시중은행의 동남아 지점 관계자는 ‘만약 한국에서 비상계엄이 그대로 유지됐다면,서울경제,8분전
https://n.news.naver.com/mnews/article/018/0005927900,'지급결제제도' 감독권한 '한은 VS 금감원' 갈등 재점화 우려,https://mimgnews.pstatic.net/image/origin/018/2025/01/19/5927900.jpg?type=nf220_150,한국은행이 금융감독원을 거치지 않고 지급결제 운영·참가 기관을 단독 조사할 수 있다는 내용을 담은 한국은행법 개정안이 발의됐다. 지급결제제도 관리·감독 권한을 두고 금융당국과 한국은행 간 갈등이 재점화할 것으로 보인,이데일리,11분전
https://n.news.naver.com/mnews/article/018/0005927897,금융시장 위기 미리 파악·대응...농협銀 '조기경보지표'가동,https://mimgnews.pstatic.net/image/origin/018/2025/01/19/5927897.jpg?type=nf220_150,올해 미국 트럼프 행정부 출범 등으로 대내·외 시장 불확실성이 커진 가운데 은행들이 산·학 협력 등을 통해 리스크관리 기술을 고도화하고 있다. NH농협은행은 주식·채권·외환 주요 시장지표를 분석해 위험 수준 도달시,이데일리,13분전
https://n.news.naver.com/mnews/article/417/0001053018,"함영주 하나금융 회장, 베인캐피탈 CEO 만나… ""국내 투자확대 논의""",https://mimgnews.pstatic.net/image/origin/417/2025/01/19/1053018.jpg?type=nf220_150,하나금융그룹은 지난 17일 서울시 중구 을지로 소재 하나금융그룹 명동 사옥에서 글로벌 최상위 사모펀드 운용사인 베인캐피탈과 최고경영자 미팅을 가졌다고 19일 밝혔다. 하나금융그룹과 베인캐피탈은 2016년 베인캐피탈이,머니S,19분전
https://n.news.naver.com/mnews/article/009/0005431277,"""효율성 높여라""… 희망퇴직 늘리는 4대銀",https://mimgnews.pstatic.net/image/origin/009/2025/01/19/5431277.jpg?type=nf220_150,"점포폐쇄 어려운 상황 속 은행들, 인력감축에 집중 국민銀 3년간 2천명 최다 경영효율성은 대폭 개선 채용줄며 평균연령은 높아져 KB국민은행이 2024년까지 최근 3년간 2061명의 희망퇴직을 통해 영업이익경비율(CI",매일경제,30분전
https://n.news.naver.com/mnews/article/009/0005431276,"임종룡 해외투자자에 서한 ""밸류업 일관되게 추진할것""",,"임종룡 우리금융그룹 회장이 해외 투자자들에게 서한을 보내 그룹의 기업가치 제고(밸류업) 추진 의지를 강조했다. 19일 우리금융그룹에 따르면 임 회장은 서한에서 ""한국 경제의 견고한 펀더멘털과 높은 정치적 성숙도를 바",매일경제,30분전
https://n.news.naver.com/mnews/article/009/0005431275,불법 채권추심신고 4년새 5배 급증,,경기악화에 급전 수요 늘고 대부업체 문턱 높아지며 초고금리 사금융으로 내몰려 불법 사금융 피해 상담·신고 건수가 5년래 최대치를 기록한 것으로 집계됐다. 추심 방식이 잔인해지면서 채권 추심과 관련한 피해 상담 건수가,매일경제,30분전
https://n.news.naver.com/mnews/article/009/0005431274,[표] 외국환율고시,https://mimgnews.pstatic.net/image/origin/009/2025/01/19/5431274.jpg?type=nf220_150,,매일경제,30분전
https://n.news.naver.com/mnews/article/009/0005431273,[포토] 베인캐피털 CEO 만난 함영주 회장,https://mimgnews.pstatic.net/image/origin/009/2025/01/19/5431273.jpg?type=nf220_150,,매일경제,31분전
https://n.news.naver.com/mnews/article/009/0005431272,개인사업자 공략나선 인뱅 대출 1년만에 30% 늘었다,https://mimgnews.pstatic.net/image/origin/009/2025/01/19/5431272.jpg?type=nf220_150,가계대출비중 축소 포석 연체율 동반상승은 과제 수익 다각화를 위해 인터넷전문은행(인뱅)들이 개인사업자 공략에 나서면서 관련 대출이 1년 새 30% 늘어났다. 다만 관련 대출 연체도 늘고 있어 우려가 제기된다. 17일,매일경제,31분전
https://n.news.naver.com/mnews/article/417/0001053016,"김재관 KB국민카드 사장 ""변화의 출발점은 소통… 협업 문화 정착""",https://mimgnews.pstatic.net/image/origin/417/2025/01/19/1053016.jpg?type=nf220_150,"KB국민카드는 지난 17일 김재관 사장을 비롯한 경영진과 본부부서장, 지역단장, KB신용정보 사장 등이 참석한 가운데 올해 상반기 경영전략회의를 개최했다고 19일 밝혔다. 경영전략회의에서는 지난해 우수한 실적을 거둔",머니S,33분전
https://n.news.naver.com/mnews/article/003/0013024054,[인사]금융위원회,,▲기획조정관 김기한 ▲구조개선정책관 유영준 ▲디지털금융정책관 김동환 ▲금융정보분석원 제도운영기획관 윤영은,뉴시스,1시간전
https://n.news.naver.com/mnews/article/014/0005297673,빚 못갚는 자영업자·소상공인 속출…보증기관 대위변제 사상 최대,https://mimgnews.pstatic.net/image/origin/014/2025/01/19/5297673.jpg?type=nf220_150,지난해 자영업자·소상공인·중소기업 등이 은행 대출을 제때 상환하지 못해 보증기관이 대신 빚을 갚아준 금액이 사상 최대로 증가한 것으로 나타났다. 코로나 팬데믹 이후 빚을 낸 이들이 내수 부진으로 인한 경영난에 고금리,파이낸셜뉴스,1시간전
https://n.news.naver.com/mnews/article/028/0002727365,"원-달러 환율, 트럼프 대통령 취임 뒤 진정세에 들어갈까?",https://mimgnews.pstatic.net/image/origin/028/2025/01/19/2727365.jpg?type=nf220_150,20일(현지시각) 미국에서 트럼프 2기 행정부가 출범하고 나면 정책 불확실성이 다소 해소되면서 전 세계적인 달러 강세 현상이 잦아들 것이라는 전망이 나온다. 1400원 중후반까지 치솟은 원-달러 환율도 진정세에 들어,한겨레,1시간전
